chromosome	bin_start	bin_end	n_reads
chr1	0	1000000	1010
chr1	1000000	2000000	615
chr1	2000000	3000000	891
chr1	3000000	4000000	467
chr1	4000000	5000000	506
chr1	5000000	6000000	505
chr1	6000000	7000000	487
chr1	7000000	8000000	495
chr1	8000000	9000000	449
chr1	9000000	10000000	501
chr1	10000000	11000000	466
chr1	11000000	12000000	527
chr1	12000000	13000000	823
chr1	13000000	14000000	443
chr1	14000000	15000000	461
chr1	15000000	16000000	532
chr1	16000000	17000000	1169
chr1	17000000	18000000	506
chr1	18000000	19000000	493
chr1	19000000	20000000	431
chr1	20000000	21000000	466
chr1	21000000	22000000	533
chr1	22000000	23000000	472
chr1	23000000	24000000	507
chr1	24000000	25000000	516
chr1	25000000	26000000	473
chr1	26000000	27000000	472
chr1	27000000	28000000	446
chr1	28000000	29000000	474
chr1	29000000	30000000	469
chr1	30000000	31000000	461
chr1	31000000	32000000	490
chr1	32000000	33000000	487
chr1	33000000	34000000	491
chr1	34000000	35000000	459
chr1	35000000	36000000	448
chr1	36000000	37000000	503
chr1	37000000	38000000	478
chr1	38000000	39000000	471
chr1	39000000	40000000	488
chr1	40000000	41000000	451
chr1	41000000	42000000	458
chr1	42000000	43000000	474
chr1	43000000	44000000	515
chr1	44000000	45000000	473
chr1	45000000	46000000	502
chr1	46000000	47000000	527
chr1	47000000	48000000	502
chr1	48000000	49000000	442
chr1	49000000	50000000	424
chr1	50000000	51000000	453
chr1	51000000	52000000	482
chr1	52000000	53000000	456
chr1	53000000	54000000	475
chr1	54000000	55000000	526
chr1	55000000	56000000	437
chr1	56000000	57000000	439
chr1	57000000	58000000	453
chr1	58000000	59000000	459
chr1	59000000	60000000	464
chr1	60000000	61000000	449
chr1	61000000	62000000	480
chr1	62000000	63000000	407
chr1	63000000	64000000	414
chr1	64000000	65000000	461
chr1	65000000	66000000	463
chr1	66000000	67000000	465
chr1	67000000	68000000	487
chr1	68000000	69000000	409
chr1	69000000	70000000	393
chr1	70000000	71000000	432
chr1	71000000	72000000	432
chr1	72000000	73000000	405
chr1	73000000	74000000	411
chr1	74000000	75000000	430
chr1	75000000	76000000	441
chr1	76000000	77000000	432
chr1	77000000	78000000	450
chr1	78000000	79000000	449
chr1	79000000	80000000	440
chr1	80000000	81000000	416
chr1	81000000	82000000	438
chr1	82000000	83000000	444
chr1	83000000	84000000	529
chr1	84000000	85000000	420
chr1	85000000	86000000	450
chr1	86000000	87000000	477
chr1	87000000	88000000	436
chr1	88000000	89000000	439
chr1	89000000	90000000	448
chr1	90000000	91000000	478
chr1	91000000	92000000	431
chr1	92000000	93000000	436
chr1	93000000	94000000	481
chr1	94000000	95000000	455
chr1	95000000	96000000	460
chr1	96000000	97000000	451
chr1	97000000	98000000	408
chr1	98000000	99000000	427
chr1	99000000	100000000	446
chr1	100000000	101000000	436
chr1	101000000	102000000	403
chr1	102000000	103000000	403
chr1	103000000	104000000	726
chr1	104000000	105000000	441
chr1	105000000	106000000	387
chr1	106000000	107000000	424
chr1	107000000	108000000	458
chr1	108000000	109000000	606
chr1	109000000	110000000	501
chr1	110000000	111000000	456
chr1	111000000	112000000	440
chr1	112000000	113000000	451
chr1	113000000	114000000	509
chr1	114000000	115000000	457
chr1	115000000	116000000	422
chr1	116000000	117000000	485
chr1	117000000	118000000	483
chr1	118000000	119000000	448
chr1	119000000	120000000	404
chr1	120000000	121000000	1788
chr1	121000000	122000000	1495
chr1	122000000	123000000	841
chr1	123000000	124000000	836
chr1	124000000	125000000	1003
chr1	125000000	126000000	1076
chr1	126000000	127000000	2526
chr1	127000000	128000000	2061
chr1	128000000	129000000	927
chr1	129000000	130000000	1438
chr1	130000000	131000000	711
chr1	131000000	132000000	296
chr1	132000000	133000000	522
chr1	133000000	134000000	626
chr1	134000000	135000000	689
chr1	135000000	136000000	370
chr1	136000000	137000000	516
chr1	137000000	138000000	880
chr1	138000000	139000000	1914
chr1	139000000	140000000	1637
chr1	140000000	141000000	1207
chr1	141000000	142000000	1105
chr1	142000000	143000000	1540
chr1	143000000	144000000	2156
chr1	144000000	145000000	1516
chr1	145000000	146000000	1566
chr1	146000000	147000000	1377
chr1	147000000	148000000	692
chr1	148000000	149000000	1571
chr1	149000000	150000000	493
chr1	150000000	151000000	424
chr1	151000000	152000000	534
chr1	152000000	153000000	523
chr1	153000000	154000000	475
chr1	154000000	155000000	494
chr1	155000000	156000000	507
chr1	156000000	157000000	476
chr1	157000000	158000000	454
chr1	158000000	159000000	477
chr1	159000000	160000000	459
chr1	160000000	161000000	775
chr1	161000000	162000000	467
chr1	162000000	163000000	474
chr1	163000000	164000000	454
chr1	164000000	165000000	500
chr1	165000000	166000000	448
chr1	166000000	167000000	504
chr1	167000000	168000000	459
chr1	168000000	169000000	408
chr1	169000000	170000000	434
chr1	170000000	171000000	440
chr1	171000000	172000000	473
chr1	172000000	173000000	438
chr1	173000000	174000000	413
chr1	174000000	175000000	446
chr1	175000000	176000000	460
chr1	176000000	177000000	431
