chromosome	bin_start	bin_end	n_reads
chr1	0	1000000	2503
chr1	1000000	2000000	1270
chr1	2000000	3000000	1897
chr1	3000000	4000000	1232
chr1	4000000	5000000	1258
chr1	5000000	6000000	1224
chr1	6000000	7000000	1301
chr1	7000000	8000000	1233
chr1	8000000	9000000	1282
chr1	9000000	10000000	1327
chr1	10000000	11000000	1264
chr1	11000000	12000000	1287
chr1	12000000	13000000	2067
chr1	13000000	14000000	1294
chr1	14000000	15000000	1277
chr1	15000000	16000000	1452
chr1	16000000	17000000	4655
chr1	17000000	18000000	1237
chr1	18000000	19000000	1278
chr1	19000000	20000000	1269
chr1	20000000	21000000	1294
chr1	21000000	22000000	1329
chr1	22000000	23000000	1314
chr1	23000000	24000000	1298
chr1	24000000	25000000	1265
chr1	25000000	26000000	1411
chr1	26000000	27000000	1281
chr1	27000000	28000000	1230
chr1	28000000	29000000	1312
chr1	29000000	30000000	1238
chr1	30000000	31000000	1264
chr1	31000000	32000000	1276
chr1	32000000	33000000	1273
chr1	33000000	34000000	1311
chr1	34000000	35000000	1309
chr1	35000000	36000000	1218
chr1	36000000	37000000	1287
chr1	37000000	38000000	1319
chr1	38000000	39000000	1293
chr1	39000000	40000000	1297
chr1	40000000	41000000	1322
chr1	41000000	42000000	1339
chr1	42000000	43000000	1311
chr1	43000000	44000000	1322
chr1	44000000	45000000	1221
chr1	45000000	46000000	1277
chr1	46000000	47000000	1364
chr1	47000000	48000000	1331
chr1	48000000	49000000	1340
chr1	49000000	50000000	1297
chr1	50000000	51000000	1307
chr1	51000000	52000000	1236
chr1	52000000	53000000	1268
chr1	53000000	54000000	1313
chr1	54000000	55000000	1308
chr1	55000000	56000000	1301
chr1	56000000	57000000	1353
chr1	57000000	58000000	1293
chr1	58000000	59000000	1326
chr1	59000000	60000000	1345
chr1	60000000	61000000	1285
chr1	61000000	62000000	1278
chr1	62000000	63000000	1313
chr1	63000000	64000000	1322
chr1	64000000	65000000	1305
chr1	65000000	66000000	1351
chr1	66000000	67000000	1354
chr1	67000000	68000000	1318
chr1	68000000	69000000	1296
chr1	69000000	70000000	1277
chr1	70000000	71000000	1257
chr1	71000000	72000000	1267
chr1	72000000	73000000	1329
chr1	73000000	74000000	1348
chr1	74000000	75000000	1323
chr1	75000000	76000000	1391
chr1	76000000	77000000	1301
chr1	77000000	78000000	1301
chr1	78000000	79000000	1366
chr1	79000000	80000000	1375
chr1	80000000	81000000	1248
chr1	81000000	82000000	1327
chr1	82000000	83000000	1320
chr1	83000000	84000000	1559
chr1	84000000	85000000	1322
chr1	85000000	86000000	1323
chr1	86000000	87000000	1290
chr1	87000000	88000000	1319
chr1	88000000	89000000	1274
chr1	89000000	90000000	1281
chr1	90000000	91000000	1246
chr1	91000000	92000000	1249
chr1	92000000	93000000	1268
chr1	93000000	94000000	1296
chr1	94000000	95000000	1302
chr1	95000000	96000000	1351
chr1	96000000	97000000	1301
chr1	97000000	98000000	1288
chr1	98000000	99000000	1299
chr1	99000000	100000000	1332
chr1	100000000	101000000	1267
chr1	101000000	102000000	1304
chr1	102000000	103000000	1274
chr1	103000000	104000000	1582
chr1	104000000	105000000	1333
chr1	105000000	106000000	1312
chr1	106000000	107000000	1312
chr1	107000000	108000000	1285
chr1	108000000	109000000	1598
chr1	109000000	110000000	1256
chr1	110000000	111000000	1357
chr1	111000000	112000000	1347
chr1	112000000	113000000	1333
chr1	113000000	114000000	1347
chr1	114000000	115000000	1294
chr1	115000000	116000000	1303
chr1	116000000	117000000	1382
chr1	117000000	118000000	1283
chr1	118000000	119000000	1293
chr1	119000000	120000000	1323
chr1	120000000	121000000	4949
chr1	121000000	122000000	4630
chr1	122000000	123000000	3114
chr1	123000000	124000000	3008
chr1	124000000	125000000	3540
chr1	125000000	126000000	3682
chr1	126000000	127000000	9724
chr1	127000000	128000000	10296
chr1	128000000	129000000	2214
chr1	129000000	130000000	7544
chr1	130000000	131000000	3276
chr1	131000000	132000000	972
chr1	132000000	133000000	2043
chr1	133000000	134000000	2857
chr1	134000000	135000000	2645
chr1	135000000	136000000	1247
chr1	136000000	137000000	1486
chr1	137000000	138000000	2342
chr1	138000000	139000000	2104
chr1	139000000	140000000	3396
chr1	140000000	141000000	7156
chr1	141000000	142000000	5541
chr1	142000000	143000000	6076
chr1	143000000	144000000	6005
chr1	144000000	145000000	4178
chr1	145000000	146000000	4548
chr1	146000000	147000000	3878
chr1	147000000	148000000	1844
chr1	148000000	149000000	4159
chr1	149000000	150000000	1337
chr1	150000000	151000000	1204
chr1	151000000	152000000	1430
chr1	152000000	153000000	1345
chr1	153000000	154000000	1297
chr1	154000000	155000000	1303
chr1	155000000	156000000	1313
chr1	156000000	157000000	1298
chr1	157000000	158000000	1327
chr1	158000000	159000000	1346
chr1	159000000	160000000	1312
chr1	160000000	161000000	2930
chr1	161000000	162000000	1298
chr1	162000000	163000000	1369
chr1	163000000	164000000	1316
chr1	164000000	165000000	1257
chr1	165000000	166000000	1362
chr1	166000000	167000000	1210
chr1	167000000	168000000	1362
chr1	168000000	169000000	1268
chr1	169000000	170000000	1327
chr1	170000000	171000000	1320
chr1	171000000	172000000	1354
chr1	172000000	173000000	1291
chr1	173000000	174000000	1270
chr1	174000000	175000000	1291
chr1	175000000	176000000	1320
chr1	176000000	177000000	1319
chr1	177000000	178000000	1287
chr1	178000000	179000000	1308
chr1	179000000	180000000	1225
chr1	180000000	181000000	1336
chr1	181000000	182000000	1331
chr1	182000000	183000000	1351
chr1	183000000	184000000	1319
chr1	184000000	185000000	1308
chr1	185000000	186000000	1314
chr1	186000000	187000000	1349
chr1	187000000	188000000	1283
chr1	188000000	189000000	1165
chr1	189000000	190000000	1264
chr1	190000000	191000000	1275
chr1	191000000	192000000	1288
chr1	192000000	193000000	1309
chr1	193000000	194000000	1281
chr1	194000000	195000000	1252
chr1	195000000	196000000	1317
chr1	196000000	197000000	1441
chr1	197000000	198000000	1255
chr1	198000000	199000000	1259
chr1	199000000	200000000	1318
chr1	200000000	201000000	1302
chr1	201000000	202000000	1242
chr1	202000000	203000000	1299
chr1	203000000	204000000	1352
chr1	204000000	205000000	1273
chr1	205000000	206000000	1920
chr1	206000000	207000000	1346
chr1	207000000	208000000	1308
chr1	208000000	209000000	1338
chr1	209000000	210000000	1329
chr1	210000000	211000000	1308
chr1	211000000	212000000	1265
chr1	212000000	213000000	1307
chr1	213000000	214000000	1370
chr1	214000000	215000000	1337
chr1	215000000	216000000	1295
chr1	216000000	217000000	1279
chr1	217000000	218000000	1326
chr1	218000000	219000000	1351
chr1	219000000	220000000	1334
chr1	220000000	221000000	1255
chr1	221000000	222000000	1416
